"x"
"#maxrose maxroseforcongress #brooklyn #statenisland #bluewave #blueteam #democrats #letswerk #nyc #i❤️ny #congress… https://t.co/XHp3Gz1tuH"
"And once again it’s here in Florida where the most ballot issues are at the forefront. On the other hand, my home d… https://t.co/pBYtInSZIP"
"RT @ashabandele: Thank you @ChristmanBowers and all who worked to defeat disgusting #DanDonovan who refused to indict Eric Garner’s killer.…"
"RT @ashabandele: Thank you @ChristmanBowers and all who worked to defeat disgusting #DanDonovan who refused to indict Eric Garner’s killer.…"
"RT @ashabandele: Thank you @ChristmanBowers and all who worked to defeat disgusting #DanDonovan who refused to indict Eric Garner’s killer.…"
"NYC ""civilian"" friend told me soon to be former Congressman Dan Donovan might be in mix for #AttorneyGeneral to rep… https://t.co/TpNPJFiVzN"
"RT @Daisyville: @MaxRose4NY @MSNBC @Lawrence Oh. My. Glob. #maxrose just gave me a burst of energy! I started singing and dancing during hi…"
"Woke up late, still made the bus and the ferry, AND met @MaxRose4NY.

Eventful day already.
#happy #maxrose #statenisland"
"Just met #MaxRose at the #StatenIsland ferry terminal! Shook his hand to thank him for running and he said “hey, this is OUR win!”"
"RT @greglouganis: Congratulations @MaxRose4NY, you are a #hero, your story is inspiring, your victory is a win for all of us on the right s…"
"RT @RitaCosby: What do YOU make of this these big #Democratic wins in #NY and #NJ? #Democrats #Gillibrand &amp; #MaxRose also win #Elections201…"
"RT @greglouganis: Congratulations @MaxRose4NY, you are a #hero, your story is inspiring, your victory is a win for all of us on the right s…"
"RT @greglouganis: Congratulations @MaxRose4NY, you are a #hero, your story is inspiring, your victory is a win for all of us on the right s…"
"Congratulations @MaxRose4NY, you are a #hero, your story is inspiring, your victory is a win for all of us on the r… https://t.co/BSROIQGbKk"
"@MaxRose4NY @MSNBC @Lawrence Oh. My. Glob. #maxrose just gave me a burst of energy! I started singing and dancing d… https://t.co/Kv0H4nyxVc"
"@MaxRose4NY #MaxRose for President"
"Crazy J - SAD! Xxxtentacion Cover !!! https://t.co/sJkYHz1oZm  #GabrielleUnion #ProtectMueller #DiegoLuna #TedCruz… https://t.co/q4h7Kvkr3N"
"We Need to make a difference with Love  Crazy J- Love is what I’m searching For (Audio)❤️🌎❤️https://t.co/ckk0LlqExX… https://t.co/gfsdoYG7Ch"
"Please Retweet this &amp; please help me get on the Ellen Show !!!! #RT #Ellen16  Crazy J - Love Is What I’m Searching… https://t.co/ehDF2U5b8V"
"🎤Hip-Hop Meets Shape Of You 😁
Crazy J - Shape Of You Remix (Official Video)
https://t.co/lDavVJwFqR
 #musician… https://t.co/2zHONwjMV6"
"Canvassing crew for #MaxRose. It worked! #maxroseforcongress #electionday2018 #brooklynpolitics… https://t.co/gy3NJqkY5v"
"RT @RitaCosby: What do YOU make of this these big #Democratic wins in #NY and #NJ? #Democrats #Gillibrand &amp; #MaxRose also win #Elections201…"
"This is our Max! 😏  https://t.co/fIcNYfQ25T
#maxrose @MaxRose4NY"
"Really impressive Max.  Maybe you can fix our broken govt. We are with you.
#maxrose"
"RT @RitaCosby: What do YOU make of this these big #Democratic wins in #NY and #NJ? #Democrats #Gillibrand &amp; #MaxRose also win #Elections201…"
"RT @RitaCosby: What do YOU make of this these big #Democratic wins in #NY and #NJ? #Democrats #Gillibrand &amp; #MaxRose also win #Elections201…"
"RT @maramcewin: Congratulations Max Rose in Staten Island has FLIPPED the district BLUE 💙🗳🌊

We have 1 Republican Congressional Districts i…"
"Election Night Upset On Staten Island. How 31-Year-Old Army Veteran Max Rose, a Democrat, Managed to Unseat Republi… https://t.co/fpNOFzEhtx"
"Honored to have canvassed and knocked on doors for this worthy new addition to the House of Representatives.… https://t.co/ke4oIgfUEe"
"RT @RitaCosby: What do YOU make of this these big #Democratic wins in #NY and #NJ? #Democrats #Gillibrand &amp; #MaxRose also win #Elections201…"
"#MaxRose Democrat...?🤔 Be careful out there. Already pledging allegiance to #DonaldTrump 🤨 #RightWingDems… https://t.co/SVZAx5yxfH"
"#Congressman #DanDonovan, who has been the force behind the establishment of a #warcrimescourt and #economiccrimes… https://t.co/UJJnVg7qH1"
"#politicalsatire #politicalhumor #politics #politicalmemes #trumpmemes #maxrose #rockthevote #republican #democrat… https://t.co/Gzfbwt1lno"
"I am so proud of the campaign #MaxRose ran in Staten Island to unseat GOP Donovan. On the ground, in person, honest… https://t.co/lhSSlI3Khe"
"RT @OfficialCrazyJ: Please Retweet this &amp; please help me get on the Ellen Show !!!! #RT #Ellen16  Crazy J - Love Is What I’m Searching For…"
"RT @OfficialCrazyJ: We Need to make a difference with Love  Crazy J- Love is what I’m searching For (Audio)❤️🌎❤️https://t.co/ckk0LlqExX  ht…"
"Crazy J - SAD! Xxxtentacion Cover !!! https://t.co/sJkYHz1oZm #Instantfamily #JeffSessions #TedCruz #MaxRose #Beto… https://t.co/VIiZhj2sA0"
"We Need to make a difference with Love  Crazy J- Love is what I’m searching For (Audio)❤️🌎❤️https://t.co/ckk0LlqExX… https://t.co/v0ZEshSAOE"
"Please Retweet this &amp; please help me get on the Ellen Show !!!! #RT #Ellen16  Crazy J - Love Is What I’m Searching… https://t.co/P4DdtHPaBq"
"🎤Hip-Hop Meets Shape Of You 😁
Crazy J - Shape Of You Remix (Official Video)
https://t.co/lDavVJwFqR
 #musician… https://t.co/frzwJs54xi"
"JBS News tonight includes #Jewish winners of the #Midterms2018 #JaredPolis @jaredpolis @JBPritzker #JackyRosen… https://t.co/EfBhrFKn7L"
"RT @paulinepark: #Democratic nominee #MaxRose scored the most stunning upset in #NYC in the #MidtermElections2018 yesterday by ousting #Dan…"
"RT @RitaCosby: What do YOU make of this these big #Democratic wins in #NY and #NJ? #Democrats #Gillibrand &amp; #MaxRose also win #Elections201…"
"@jamifloyd Day1042 11/7/18First Radio HeadlineS Heard of the Day Drawing Project #Midterms2018 #DemsTakeTheHouse… https://t.co/su6xDlmel2"
"RT @RitaCosby: What do YOU make of this these big #Democratic wins in #NY and #NJ? #Democrats #Gillibrand &amp; #MaxRose also win #Elections201…"
"RT @RitaCosby: What do YOU make of this these big #Democratic wins in #NY and #NJ? #Democrats #Gillibrand &amp; #MaxRose also win #Elections201…"
