"results.created_at","results.id","results.id_str","results.text","results.source","results.truncated","results.in_reply_to_status_id","results.in_reply_to_status_id_str","results.in_reply_to_user_id","results.in_reply_to_user_id_str","results.in_reply_to_screen_name","results.geo","results.coordinates","results.place","results.contributors","results.is_quote_status","results.quote_count","results.reply_count","results.retweet_count","results.favorite_count","results.favorited","results.retweeted","results.possibly_sensitive","results.filter_level","results.lang","results.user.id","results.user.id_str","results.user.name","results.user.screen_name","results.user.location","results.user.url","results.user.description","results.user.translator_type","results.user.protected","results.user.verified","results.user.followers_count","results.user.friends_count","results.user.listed_count","results.user.favourites_count","results.user.statuses_count","results.user.created_at","results.user.utc_offset","results.user.time_zone","results.user.geo_enabled","results.user.lang","results.user.contributors_enabled","results.user.is_translator","results.user.profile_background_color","results.user.profile_background_image_url","results.user.profile_background_image_url_https","results.user.profile_background_tile","results.user.profile_link_color","results.user.profile_sidebar_border_color","results.user.profile_sidebar_fill_color","results.user.profile_text_color","results.user.profile_use_background_image","results.user.profile_image_url","results.user.profile_image_url_https","results.user.profile_banner_url","results.user.default_profile","results.user.default_profile_image","results.user.following","results.user.follow_request_sent","results.user.notifications","results.extended_tweet.full_text","requestParameters.maxResults","requestParameters.fromDate","requestParameters.toDate"
"Mon Nov 05 02:16:45 +0000 2018",1059268249060368384,"1059268249060368384","I have two permits 11/05/18 #statenislandferry (5:30-10:00 am St. George and 4-8 pm Whitehall Terminal). Volunteers… https://t.co/QZnI71YVO6","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,2,0,5,FALSE,FALSE,FALSE,"low","en",1016006134161920000,"1016006134161920000","(Official) Patricia Okoumou","POkoumou","New York, USA","http://bit.ly/OkoumouGoFundMe","Scaled Lady Liberty. Congolese immigrant. Personal trainer. Freedom fighter. White supremacy is terrorism. Contact me: http://www.patriciaokoumou.com","none",FALSE,FALSE,11333,8,62,2171,584,"Sun Jul 08 17:08:33 +0000 2018",NA,NA,FALSE,"en",FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"19CF86","000000","000000","000000",FALSE,"http://pbs.twimg.com/profile_images/1050460827537555456/kj4iuQ0M_normal.jpg","https://pbs.twimg.com/profile_images/1050460827537555456/kj4iuQ0M_normal.jpg","https://pbs.twimg.com/profile_banners/1016006134161920000/1539284355",FALSE,FALSE,NA,NA,NA,"I have two permits 11/05/18 #statenislandferry (5:30-10:00 am St. George and 4-8 pm Whitehall Terminal). Volunteers passing #GetOutAndVote flyers. #maxrose #maxroseforcongress @MaxRose4NY #NY11 no cops/harassment/rudeness. I will not #Vote for Max #StatenIslanders #statenisland https://t.co/4K6Op3AsYt",100,"201811050000","201811100000"
"Mon Nov 05 01:49:22 +0000 2018",1059261359450394624,"1059261359450394630","@MaxRose4NY Good luck!  #dandonovan allowed the killer of #ericgarner to escape justice. He doesn't deserve to stay in #Congress","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,NA,NA,892491627088011264,"892491627088011264","MaxRose4NY",NA,NA,NA,NA,FALSE,0,0,0,0,FALSE,FALSE,NA,"low","en",19072143,"19072143","Eric Stewart","estewnyc","NYC","https://www.linkedin.com/in/eric-michael-stewart/","Political theater junkie & sci-fi nerd. MA in Literature student @CityCollegeNY.","none",FALSE,FALSE,1412,2123,24,7985,7504,"Fri Jan 16 15:53:38 +0000 2009",NA,NA,TRUE,"en",FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"1DA1F2","C0DEED","DDEEF6","333333",TRUE,"http://pbs.twimg.com/profile_images/1036256862335848448/UpKdByPc_normal.jpg","https://pbs.twimg.com/profile_images/1036256862335848448/UpKdByPc_normal.jpg","https://pbs.twimg.com/profile_banners/19072143/1376347104",TRUE,FALSE,NA,NA,NA,NA,100,"201811050000","201811100000"
